"","C9","I9","C11","I11","C16","I16"
"MSTRG.16554",9.193167,9.601412,8.377662,9.294151,9.673637,11.661309
"MSTRG.16555",0,0,0,0,0,0
"MSTRG.16556",9.447648,11.177212,10.994318,11.134846,13.114735,13.086425
"MSTRG.16557",2.763799,3.440999,3.527439,2.886064,2.400849,2.011817
"MSTRG.16558",9.181468,10.863902,7.322168,9.048771,8.845113,10.182324
"MSTRG.16559",6.133142,8.961486,9.159641,10.333919,5.301148,5.884016
"MSTRG.1656",2.110455,4.182158,3.485703,3.675176,0.869709,2.082661
"MSTRG.16560",74.882526,56.318249,81.728858,84.396935,173.096176,178.053581
"MSTRG.16561",19.761191,26.861095,18.429523,16.991038,16.679541,19.301146
"MSTRG.16562",7.03899,12.547928,9.155192,8.031499,6.582884,7.346093
"MSTRG.16563",23.166388,27.531744,26.055619,27.849229,23.045659,24.342015
"MSTRG.16564",16.357358,18.185796,10.76773,13.148517,16.882,17.993524
"MSTRG.16565",0.353409,0.069958,0.179359,0.19751,0.08138,0.23878
"MSTRG.16566",26.983364,36.350001,29.522902,29.733933,16.393964,21.12641
"MSTRG.16567",69.043971,84.329885,83.870641,86.523703,61.234737,60.070891
"MSTRG.16568",8.468308,12.32231,9.693448,9.486994,12.431793,13.36277
"MSTRG.16569",3.322688,2.827036,2.982847,2.997853,1.43142,1.527031
"MSTRG.1657",27.096546,33.602989,24.664123,25.608368,12.576682,14.576329
"MSTRG.16570",46.050549,54.464521,40.824276,47.786395,45.370455,47.285641
"MSTRG.16571",23.761892,29.175619,24.424591,27.788068,25.114788,27.983355
"MSTRG.16572",0.679243,0.859271,1.036997,1.294481,0.793891,1.139069
"MSTRG.16573",0.073442,0,0,0,0,0
"MSTRG.16574",3.789374,3.603206,6.125717,9.016911,8.218436,9.328073
"MSTRG.16575",0,0,0,0,0,0
"MSTRG.16576",0,0,0,0,0,0
"MSTRG.16577",5.120984,5.767856,5.346176,5.827295,5.553476,5.536179
"MSTRG.16578",110.563144,115.073224,95.978048,101.101319,60.986804,55.396209
"MSTRG.16579",10.663283,8.680606,10.48497,10.720532,3.127479,4.301122
"MSTRG.1658",0.357,0.307657,0.272517,0.491027,0.335353,0.494671
"MSTRG.16580",37.927121,43.911121,39.005253,37.787324,28.427059,27.453428
"MSTRG.16581",0.020769,0,0.177156,0.183731,0.16533,0.070637
"MSTRG.16582",0.53016,0.14417,0.678265,1.169033,0.828288,1.311231
"MSTRG.16583",17.045485,21.63046,23.71339,27.12939,23.052781,22.868281
"MSTRG.16584",0.056425,0.06303,0.14492,0.119715,0,0.048061
"MSTRG.16585",0,0.070586,0,0.032518,0,0.031103
"MSTRG.16586",14.186944,21.101265,21.630505,22.085939,25.80513,25.506577
"MSTRG.16587",21.379147,28.467827,18.727659,21.163177,24.981715,25.888677
"MSTRG.16588",16.401693,17.659337,18.660215,19.367494,16.00928,16.199014
"MSTRG.16589",11.584284,11.70652,14.140506,13.962004,7.038995,7.932
"MSTRG.1659",32.17428,38.679653,39.276908,39.054934,26.702378,30.230388
"MSTRG.16590",55.405054,68.36025,60.291596,60.154941,55.96463,55.795417
"MSTRG.16591",17.502661,21.060686,17.280603,18.337597,22.41189,21.695576
"MSTRG.16592",12.325784,16.658486,14.425522,15.646689,14.433339,13.917851
"MSTRG.16593",4.92241,6.121623,3.89474,4.571213,4.589399,5.030215
"MSTRG.16594",29.51465,36.576988,28.597287,32.327638,30.272906,31.072972
"MSTRG.16595",0,0,0,0,0,0
"MSTRG.16596",0.690049,0.744333,0.923508,1.12444,0.944653,1.7556
"MSTRG.16597",9.227973,12.358148,8.845955,10.757066,12.938293,13.678703
"MSTRG.16598",3.257618,3.350724,2.856169,3.474491,2.356268,2.686819
"MSTRG.16599",28.627954,36.753768,32.274967,34.035384,30.588756,32.156434
"MSTRG.166",12.522132,13.857382,9.451472,11.270716,14.357913,15.716074
"MSTRG.1660",0.47552,0.111075,0.158217,0.580183,0.079831,0.417305
"MSTRG.16600",8.734705,11.497582,10.626249,11.007164,13.140488,14.042523
"MSTRG.16601",0.03218,0.133953,0,0,0.025266,0.038095
"MSTRG.16602",18.760968,23.311529,17.723586,21.096129,14.753186,17.146206
"MSTRG.16603",39.306747,46.32034,42.099114,50.988989,40.785181,39.861995
"MSTRG.16604",0,0,0,0.085976,0,0
"MSTRG.16605",80.592673,116.327941,84.472655,86.039172,96.368487,95.503427
"MSTRG.16606",0.545215,0.623731,0.819411,0.809027,0.587235,1.194259
"MSTRG.16607",0,0,0,0,0,0
"MSTRG.16608",57.528417,67.586736,68.399025,78.41778,62.646485,65.158622
"MSTRG.16609",744.958106,757.229678,898.720169,858.891338,350.34487,306.733166
"MSTRG.1661",2.441145,3.49536,2.125683,2.262159,1.042145,1.252355
