,gene_id,TPM_C9,TPM_I9,TPM_C11,TPM_I11,TPM_C16,TPM_I16,TPM_Islet24h_1,TPM_Islet24h_2,TPM_Islet24h_3,TPM_Liver_1,TPM_Liver_2,TPM_Liver_3,TPM_Brain_1,TPM_Brain_2,TPM_Brain_3
26758,MSTRG.4692,15.69253,19.445045,17.077108,15.723557000000001,3.8822589999999995,2.913554,2.831886,28.627974,5.398233,0.960266,1.244968,1.7539349999999998,3.9769,8.206660000000001,7.152875999999999
26760,MSTRG.4694,352.879639,372.974396,388.268158,393.669128,402.802979,396.23962400000005,122.111191,194.315842,110.074959,149.41043100000002,141.768372,150.25528,130.809158,164.288956,192.92871100000002
26761,MSTRG.4695,20.332973000000003,25.387895999999998,22.581997,22.707331,15.017123999999999,17.783138,8.669158,14.332903,8.225800999999999,6.567494,6.869511999999999,6.3271,9.431588,10.342276,12.800736
26762,MSTRG.4696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.153324,1.127726,3.29585,12.251484,4.397094999999999
26763,MSTRG.4697,0.774212,1.21964,0.974419,1.017636,0.8436540000000001,1.087389,0.225767,0.223931,0.337296,0.163775,0.087837,0.0728,1.737025,2.047517,1.858545
26764,MSTRG.4698,8.925038,9.071441,11.111991,11.160414,9.918577,10.007984,2.12574,8.727478999999999,1.5879919999999998,9.297099,5.490251000000001,14.951057999999998,1.7912979999999998,3.114701,4.114005
26765,MSTRG.4699,0.288831,0.144826,0.33481700000000003,0.155781,0.130347,0.15118099999999998,0.076739,0.102101,0.014204,3.366057,3.2561299999999997,3.6766389999999998,0.20828400000000002,0.26803299999999997,0.544038
26766,MSTRG.47,14.980007,18.547416000000002,12.213771000000001,14.128094,23.155520000000003,24.185388,8.768458,14.712447,8.719474,4.003516,3.826163,3.634158,23.013882,25.714399,27.884900000000002
26767,MSTRG.470,4.038069,4.5618419999999995,2.6802580000000003,3.4311339999999997,4.510543,4.801419999999999,2.5297660000000004,4.890778,2.218938,7.400742,7.463271000000001,7.476872999999999,8.059183,9.425545,8.887138
26770,MSTRG.4702,7.141033999999999,5.710428,10.127694,11.847136,7.8426800000000005,6.32595,1.4739799999999998,8.15805,0.8903049999999999,5.870504,5.458671,10.080116,0.811574,1.4595420000000001,1.9789310000000002
26772,MSTRG.4704,5.911699,5.84941,5.7349440000000005,6.842925999999999,4.072031,4.151406,5.9186510000000006,6.695187,5.424066000000002,3.120965,3.7504769999999996,2.116156,2.793832,4.386488,4.693376
26780,MSTRG.4711,10.895092,11.878279,8.980825,10.710476,4.516621,9.55842,5.271798,8.077572,5.246672,7.6926179999999995,6.393323,5.312449000000001,4.113321000000001,5.795249,6.718919
26785,MSTRG.4716,28.596802,32.160265,31.106809000000002,33.639121,34.569854,33.846,19.102726999999998,29.941819,18.222299,47.290025,46.276239000000004,39.581179,11.458986,10.472418000000001,14.432064
26789,MSTRG.472,0.29946500000000004,0.308347,0.436396,0.316616,0.0,0.232852,0.15926300000000002,0.364329,0.058108000000000014,2.723447,2.325656,1.510717,1.017452,1.241593,0.6056729999999999
26797,MSTRG.4727,0.130409,0.227251,0.149842,0.11582200000000001,0.017151,0.076264,0.0,0.028503,0.01266,0.054108,0.016018,0.039822,1.8511099999999998,2.236709,3.123968
26798,MSTRG.4728,11.997652,12.350197999999999,12.195376,17.316509,8.710443,7.751796000000001,6.8928660000000015,9.037172,6.219494,9.495463,7.832607,7.89186,8.982269,13.390849,10.932673
26799,MSTRG.4729,6.215143,8.361756,7.457717999999999,7.997679,5.557723999999999,5.609699,2.730249,3.472285,2.546304,1.3723999999999998,1.349124,1.3163019999999999,6.283027,6.194903,8.354246
26800,MSTRG.473,0.037666000000000005,0.252894,0.450429,0.121044,0.071995,0.0,0.298902,0.6331910000000001,0.446403,0.19071300000000002,0.072109,0.0,2.725696,4.612137,4.4259200000000005
26802,MSTRG.4731,0.8801110000000001,1.0514379999999999,1.3870120000000001,1.427359,1.143425,1.454358,0.558654,1.3775229999999998,0.473209,0.06800199999999999,0.03748,0.10752999999999999,0.6892159999999999,0.508375,0.888263
26803,MSTRG.4732,3.5197849999999997,2.31873,1.9743389999999998,3.194378,2.771859,3.677318,0.7779940000000001,0.7938,0.459195,10.185367,11.620938,9.90846,1.657979,1.866459,2.317175
26804,MSTRG.4733,63.146967000000004,65.342903,80.827432,82.530051,61.409425,60.750727000000005,61.196931000000006,72.55283,54.41435,72.478105,60.562039999999996,50.350995000000005,22.147268,30.075454,42.249671
26806,MSTRG.4735,6.03672,6.505891,6.011263,5.987413,6.268765,7.133524,4.0345559999999985,5.802702,3.500935,17.268463,16.802574,15.978495,2.358347,2.659017,2.728822
26807,MSTRG.4736,27.05998,28.820764,31.777583,31.069769,18.983523,19.707818,11.839262000000002,17.200682999999998,9.404135,16.29458,16.42011,12.414909,4.73819,11.412216999999998,8.218675
26810,MSTRG.4739,0.5864090000000001,0.827239,0.951309,1.229252,1.0964129999999999,1.753436,0.743613,1.325974,0.952227,8.463076,10.209162,8.903113000000001,0.531143,0.323393,0.612648
26812,MSTRG.4740,23.079103,25.563957000000002,24.710285,26.466568,28.295732,29.437820000000002,9.305264,34.977894,9.607732,0.633231,0.285921,0.340133,1.550254,1.311879,1.598932
26813,MSTRG.4741,20.218176,26.426627000000003,20.539403,22.168129,23.869785,31.792461,9.570663,15.642145,9.68659,12.053444999999998,12.86699,11.379916,8.462185,11.026085,10.911724
26815,MSTRG.4743,1.025197,1.000293,0.877387,1.2242,0.9599629999999999,0.5727270000000001,0.579939,0.6491600000000001,0.518638,0.0,0.0,0.0,8.548388000000001,8.320072999999999,8.660568
26816,MSTRG.4744,21.067126000000002,25.570828,18.929369,18.555385,24.396815,27.341627000000003,11.757392999999999,18.562999,10.426718,37.227907,37.102806,33.059484000000005,57.100022,61.53041399999999,74.28730399999999
26817,MSTRG.4745,0.0,0.23121599999999998,0.0,0.256181,0.0,0.989742,0.0,0.0,0.0,1.632631,2.2743900000000004,1.429748,1.07049,1.8119869999999998,0.47069799999999995
26818,MSTRG.4746,12.926252999999999,16.506145,11.105967999999999,11.295156,16.450308,17.349949,3.445649,3.5866010000000004,2.605051,0.8933459999999999,0.9737979999999999,0.820428,19.971312,16.908953,22.340319
26819,MSTRG.4747,255.153202,378.095756,278.095166,226.21364100000002,394.969185,392.892385,331.985076,230.50949599999998,183.255049,59.544566,67.37511599999999,81.12168999999999,58.772154,59.181824,69.993045
26820,MSTRG.4748,27.952372999999998,36.56435,24.408033,26.491761999999998,28.476693,32.116865000000004,10.583289,14.535950999999995,8.648073,10.071786999999999,10.007902999999999,10.745602,22.80356,18.944205999999998,34.31317800000001
26821,MSTRG.4749,2.278395,1.745234,1.8883830000000001,2.409648,1.5832190000000002,1.308039,0.365406,0.427135,0.514649,2.248257,2.2429669999999997,2.016091,3.905943,3.3510739999999997,5.821198000000001
26823,MSTRG.4750,825.730851,1013.0917189999999,920.354608,920.8307990000001,631.441125,627.908917,326.13323199999996,633.5998220000001,299.719137,214.10326599999996,239.11211500000002,159.033445,165.51529299999999,185.241629,237.80892899999998
26824,MSTRG.4751,23.19521,32.474672,32.440046,34.575201,36.030425,40.175727,7.259450999999999,11.87069,6.461796,42.914412,58.150086,32.095946000000005,11.149593,10.964937,13.682371999999999
26825,MSTRG.4752,0.25993099999999997,0.216598,0.227685,0.263809,0.12451400000000001,0.0889,0.030527,0.052552,0.027251,5.121738000000001,5.069049,1.996042,0.402567,0.358234,0.512628
26827,MSTRG.4754,378.87239,407.79007,293.251673,328.469457,328.639886,344.630086,253.05223300000003,394.887559,225.911124,148.242004,174.770688,136.682491,100.827097,102.19671299999999,181.684048
26828,MSTRG.4755,120.53451000000001,129.533657,128.627377,135.498805,62.027015000000006,78.509132,96.753612,134.42125,83.492952,27.438974,27.424172,23.152060000000002,37.905305999999996,48.979558999999995,74.294975
26829,MSTRG.4756,18.216413,21.666693,19.735893,21.749128,19.840219,19.23086,7.322522999999999,9.340075,6.37712,8.686486,7.614264,7.231775999999999,10.311395,13.319325,15.242126999999998
26832,MSTRG.4759,3.1781580000000003,4.344488,3.6941019999999996,4.991127,6.089183,8.156406,0.357743,0.325529,0.305114,1.55413,1.1512550000000001,1.4018979999999999,1.0870179999999998,0.638199,2.1096880000000002
26834,MSTRG.4760,2.606925,4.303999999999999,1.9777770000000001,2.629641,2.2473330000000002,2.5066650000000004,0.455011,0.700196,0.814046,0.881711,0.75432,0.31997800000000004,9.150403,10.648397000000001,12.729733
26835,MSTRG.4761,1.6926169999999998,1.767418,1.890318,1.965499,0.9574530000000001,0.7494390000000001,0.596612,0.725669,0.34665,1.223805,0.894426,0.829576,1.245179,1.818682,2.484434
26836,MSTRG.4762,4.004301,5.142718,3.63303,3.8568230000000003,4.852391000000001,5.454724,1.517098,2.257214,1.296152,2.430941,2.059063,1.865984,7.793323,11.610968,11.103536
26837,MSTRG.4763,1.226949,1.1923629999999998,1.009566,1.624676,0.571862,0.574257,0.38707800000000003,0.42072,0.28508500000000003,0.444446,0.914095,0.6980310000000001,1.269995,1.5824629999999997,1.4736179999999999
26850,MSTRG.4775,2.848596,3.8517629999999996,2.7717650000000003,3.98829,2.318563,3.6347699999999996,2.410766,3.844375,2.098379,15.329522,89.63605199999999,13.64522,1.9776240000000003,2.836637,3.4350690000000004
26851,MSTRG.4776,0.080832,0.17363699999999999,0.109197,0.130426,0.009168,0.063321,0.015884,0.018876,0.014424,0.036791000000000004,0.033811,0.042489,1.8501299999999998,2.423372,3.056507
26852,MSTRG.4777,11.821458,12.170021,12.211034,9.273928999999999,8.660436,7.459886,6.9325899999999985,8.762976,6.057815,9.211458,7.647185,7.801168,8.878869,13.301607999999998,10.862762
26853,MSTRG.4778,3.177867,5.2874620000000006,3.8950739999999997,4.69315,3.155367,3.282707,2.7106310000000002,3.3892420000000003,2.092282,7.965213,10.283544000000001,10.331127,1.6069849999999999,1.847678,1.7492210000000001
